enterprise,job,salary,jd_keywords
埃森哲,咨询分析（）-日语/韩语/粤语,150-200/天,"Index(['项目', '管理', '数据分析', '支持', '工具', '韩语', '运用', '团队', '实习', '项目管理', '日语',
       '粤语', '书面', '加班', '必须'],
      dtype='object')"
正道科技,数据分析,120-200/天,"Index(['行业', '运营', '竞争对手', '搜集', '撰写', '活动', '主动性', '专业', '经验', '分析', '投递',
       '相关', '3.7', '体系', '抗压'],
      dtype='object')"
 致辰文化 ,机器学习项目实习,250-400/天,"Index(['学习', '经验', '优先', '熟悉', '机器', '项目', '模型', '基础', '留学', '数据', '相关',
       '统计分析', '细致', '扎实', '计算机科学'],
      dtype='object')"
久谦咨询,数据分析 北京/上海,300-500/天,"Index(['平台', '算法', '数据', '团队', '前端', '开发', '相关', '技术', '麦肯锡', '华为', '经验', '以及',
       '迭代', '具备', '应用'],
      dtype='object')"
京东数科,数据分析实习,120-150/天,"Index(['数据', '分析', '数据分析', '产品', '金融', '电商', '专业', '熟练', '进行', '清洗', '具有',
       '外部', '经历', '使用', '建模'],
      dtype='object')"
康明斯," 实习(分析,数据库建立）",120-150/天,"Index(['支持', '客户', '计划', '文件', '写作', '口语', '建立', '较强', '产品', '材料', '整合', '认真',
       '精通', '分析', '简介'],
      dtype='object')"
龙云科技,数据分析实习,150-200/天,"Index(['数据', '相关', '游戏', '产品', '优先', '数据分析', '方向', '支持', '运营', '需求', '针对',
       '业务', '理解', '后台', '任职'],
      dtype='object')"
久谦咨询,数据分析实习,150-300/天,"Index(['良好', '相关', '分析', '解决问题', '数字', 'ownership', '实际', '经历', '较强', '阅读',
       'Python', '优先', '专业', '注重', '熟练掌握'],
      dtype='object')"
尼尔森,汽车组数据分析实习,50-100/天,"Index(['市场', '同学', '实习生', '可以', '学习', '报告', '优先', '处理', '作为', '数据', '研究',
       '实习期', '尼尔森', '分析', '项目'],
      dtype='object')"
易点租,数据分析,150-180/天,"Index(['实习', '员工', '促销', '价格', '活动', '维护', '数据', '00', '技能', '分析', '具备', '解决',
       '开门', '细心', '相关'],
      dtype='object')"
博彦科技,日语数据分析实习,200-250/天,"Index(['日文', '优先', '态度', '环境', '沟通', '全日制', '日语', '熟练', '整合', '录入', '专业', '经验',
       '使用', '采集', '相关'],
      dtype='object')"
惟德,图形数据融合处理 - 数据分析,200-400/天,"Index(['开发', '数据分析', '设计', '负责', '算法', '项目', '工程师', '需求', '计算机', '详细', '成长',
       '相关', '环境', '技术', '技术难题'],
      dtype='object')"
久谦咨询,数据分析实习,150-300/天,"Index(['数据', '实习', '内部', '分析', 'Python', '技能', '及时', '基础', '良好', '相关', '产品',
       '沉得', '数学', '需求', '支持'],
      dtype='object')"
惟德,健康大数据助理,200-400/天,"Index(['专业', '技能', '良好', '优先', '信息', '岗位', '三类', '具备', '生物', 'APP', '成长', '同时',
       'Photoshop', 'MongoDB', '善于'],
      dtype='object')"
微毕数据,数据分析实习,150-200/天,"Index(['数据', '使用', '可视化', '环境', '合作', '精神', '团队', 'Tableau', '岗位', '专业', '资格',
       '分析', 'Job', '相关', '优先'],
      dtype='object')"
Mylan,寒假/春季实习 （数据分析方向）,150-150/天,"Index(['实习', '完成', '数据', 'Excel', '技能', '交待', '外企', '尤其', '分析', '相关', '优先',
       '感受', '每月', '认真负责', 'Office'],
      dtype='object')"
快手,数据分析实习,200-250/天,"Index(['业务', '优先', '熟悉', '数据', '指标', '产品', '任职', 'Python', '决策', '直播', '做事',
       '相关', '视频', '支撑', '对全'],
      dtype='object')"
瑞尼尔,数据分析实习,150-200/天,"Index(['数据', '分析', '工具', '完成', '构建', '管理', '金融', '统计', '报告', '经济', '数据库', '制作',
       '配合', '了解', '建模'],
      dtype='object')"
瑞尼尔,大数据分析与应用岗,150-200/天,"Index(['数据', '分析', '工具', '完成', '构建', '管理', '金融', '统计', '报告', '经济', '数据库', '制作',
       '配合', '了解', '建模'],
      dtype='object')"
App Annie,   (),200-250/天,"Index(['to', 'and', 'the', 'App', 'in', 'Annie', 'you', 'mobile', 'is', 'What',
       'of', 'be', 'language', 'app', 'industry'],
      dtype='object')"
易观,数据分析实习,100-150/天,"Index(['使用', '客户', '数据', '数据分析', '报告', '实习', '分析', '分析师', '负责', '相关', '优先',
       '遇到', '统计学', '专业', '985'],
      dtype='object')"
元気森林（燃茶）,实习（数据分析方向）,100-150/天,"Index(['完成', '软件', '办公', '一种', '沟通', '专业', '企业', 'C++', '报表', 'Python', '熟练',
       '使用', '开发', '经营', '熟练掌握'],
      dtype='object')"
